service_id,date,exception_type
0111100_TR1,20191224,2
0111100_TR1,20191225,2
0111100_TR1,20191226,2
0111100_TR1,20191227,2
0111100_TR1,20200101,2
0111100_TR1,20200102,2
0111100_TR1,20200410,2
0111100_TR1,20200414,2
0111100_TR1,20200501,2
0111100_TR1,20200508,2
0111100_TR1,20200707,2
0111100_TR1,20200929,2
0111100_TR1,20201028,2
0111100_TR1,20201029,2
0111100_TR1,20201117,2
0111100_TR1,20201118,2
1111000_TR1,20200706,2
1111000_TR1,20200928,2
1111000_TR1,20201028,2
1111000_TR1,20201106,1
1111000_TR1,20201113,1
1111000_TR1,20201117,2
1111000_TR1,20201120,1
1111000_TR1,20201127,1
1111000_TR1,20201204,1
1111000_TR1,20201211,1
0000110_TR2,20201106,2
0000110_TR2,20201113,2
0000110_TR2,20201120,2
0000110_TR2,20201127,2
0000110_TR2,20201204,2
0000110_TR2,20201211,2
0000011_TR3,20200706,1
0000011_TR3,20200928,1
0000011_TR3,20201028,1
0000011_TR3,20201117,1
1111100_TR5,20200706,2
1111100_TR5,20200928,2
1111100_TR5,20201028,2
1111100_TR5,20201117,2
0000001_TR6,20200706,1
0000001_TR6,20200928,1
0000001_TR6,20201028,1
0000001_TR6,20201117,1
1111100_TR6,20200706,2
1111100_TR6,20200928,2
1111100_TR6,20201028,2
1111100_TR6,20201102,2
1111100_TR6,20201103,2
1111100_TR6,20201104,2
1111100_TR6,20201105,2
1111100_TR6,20201106,2
1111100_TR6,20201107,1
1111100_TR6,20201109,2
1111100_TR6,20201110,2
1111100_TR6,20201111,2
1111100_TR6,20201112,2
1111100_TR6,20201113,2
1111100_TR6,20201114,1
1111100_TR6,20201116,2
1111100_TR6,20201117,2
1111100_TR6,20201118,2
1111100_TR6,20201119,2
1111100_TR6,20201120,2
1111100_TR6,20201121,1
1111100_TR6,20201123,2
1111100_TR6,20201124,2
1111100_TR6,20201125,2
1111100_TR6,20201126,2
1111100_TR6,20201127,2
1111100_TR6,20201128,1
1111100_TR6,20201130,2
1111100_TR6,20201201,2
1111100_TR6,20201202,2
1111100_TR6,20201203,2
1111100_TR6,20201204,2
1111100_TR6,20201205,1
1111100_TR6,20201207,2
1111100_TR6,20201208,2
1111100_TR6,20201209,2
1111100_TR6,20201210,2
1111100_TR6,20201211,2
1111100_TR6,20201212,1
0000010_TR4,20201102,1
0000010_TR4,20201103,1
0000010_TR4,20201104,1
0000010_TR4,20201105,1
0000010_TR4,20201106,1
0000010_TR4,20201107,2
0000010_TR4,20201109,1
0000010_TR4,20201110,1
0000010_TR4,20201111,1
0000010_TR4,20201112,1
0000010_TR4,20201113,1
0000010_TR4,20201114,2
0000010_TR4,20201116,1
0000010_TR4,20201118,1
0000010_TR4,20201119,1
0000010_TR4,20201120,1
0000010_TR4,20201121,2
0000010_TR4,20201123,1
0000010_TR4,20201124,1
0000010_TR4,20201125,1
0000010_TR4,20201126,1
0000010_TR4,20201127,1
0000010_TR4,20201128,2
0000010_TR4,20201130,1
0000010_TR4,20201201,1
0000010_TR4,20201202,1
0000010_TR4,20201203,1
0000010_TR4,20201204,1
0000010_TR4,20201205,2
0000010_TR4,20201207,1
0000010_TR4,20201208,1
0000010_TR4,20201209,1
0000010_TR4,20201210,1
0000010_TR4,20201211,1
1111110_TR3,20200705,1
1111110_TR3,20200706,2
1111110_TR3,20200927,1
1111110_TR3,20200928,2
1111110_TR3,20201108,1
1111110_TR3,20201115,1
1111110_TR3,20201122,1
1111110_TR3,20201129,1
1111110_TR3,20201206,1
0000001_TR7,20200705,2
0000001_TR7,20200706,1
0000001_TR7,20200927,2
0000001_TR7,20200928,1
1111101_TR4,20200705,2
1111101_TR4,20200927,2
0000010_TR5,20200705,1
0000010_TR5,20200927,1
0000011_TR4,20200705,2
0000011_TR4,20200706,1
0000011_TR4,20200927,2
0000011_TR4,20200928,1
0000011_TR4,20201028,1
0000011_TR4,20201107,2
0000011_TR4,20201114,2
0000011_TR4,20201117,1
0000011_TR4,20201121,2
0000011_TR4,20201128,2
0000011_TR4,20201205,2
0000000_TR3,20200705,1
0000000_TR3,20200927,1
0000000_TR3,20201107,1
0000000_TR3,20201114,1
0000000_TR3,20201121,1
0000000_TR3,20201128,1
0000000_TR3,20201205,1
0000000_TR3,20201212,1
1111111_TR12,20201102,2
1111111_TR12,20201103,2
1111111_TR12,20201104,2
1111111_TR12,20201105,2
1111111_TR12,20201109,2
1111111_TR12,20201110,2
1111111_TR12,20201111,2
1111111_TR12,20201112,2
1111111_TR12,20201116,2
1111111_TR12,20201118,2
1111111_TR12,20201119,2
1111111_TR12,20201123,2
1111111_TR12,20201124,2
1111111_TR12,20201125,2
1111111_TR12,20201126,2
1111111_TR12,20201130,2
1111111_TR12,20201201,2
1111111_TR12,20201202,2
1111111_TR12,20201203,2
1111111_TR12,20201207,2
1111111_TR12,20201208,2
1111111_TR12,20201209,2
1111111_TR12,20201210,2
1111000_TR2,20201117,2
1000000_TR2,20191223,2
1000000_TR2,20191230,2
1000000_TR2,20200102,1
1000000_TR2,20200413,2
1000000_TR2,20200414,1
1000000_TR2,20200706,2
1000000_TR2,20200707,1
1000000_TR2,20200928,2
1000000_TR2,20200929,1
1000000_TR2,20201029,1
1000000_TR2,20201118,1
0111100_TR2,20191223,1
0111100_TR2,20191224,2
0111100_TR2,20191225,2
0111100_TR2,20191226,2
0111100_TR2,20191230,1
0111100_TR2,20200101,2
0111100_TR2,20200102,2
0111100_TR2,20200410,2
0111100_TR2,20200414,2
0111100_TR2,20200501,2
0111100_TR2,20200508,2
0111100_TR2,20200707,2
0111100_TR2,20200929,2
0111100_TR2,20201028,2
0111100_TR2,20201029,2
0111100_TR2,20201117,2
0111100_TR2,20201118,2
0000011_TR5,20191224,1
0000011_TR5,20191226,1
0000011_TR5,20200410,1
0000011_TR5,20200413,1
0000011_TR5,20200501,1
0000011_TR5,20200508,1
0000011_TR5,20200706,1
0000011_TR5,20200928,1
0000011_TR5,20201028,1
0000011_TR5,20201117,1
0000100_TR1,20200409,1
0000100_TR1,20200410,2
0000100_TR1,20200430,1
0000100_TR1,20200501,2
0000100_TR1,20200507,1
0000100_TR1,20200508,2
0000100_TR1,20201027,1
1111000_TR3,20191224,2
1111000_TR3,20191225,2
1111000_TR3,20191226,2
1111000_TR3,20191231,2
1111000_TR3,20200101,2
1111000_TR3,20200409,2
1111000_TR3,20200413,2
1111000_TR3,20200430,2
1111000_TR3,20200507,2
1111000_TR3,20200706,2
1111000_TR3,20200928,2
1111000_TR3,20201027,2
1111000_TR3,20201028,2
1111000_TR3,20201117,2
0000001_TR8,20191222,2
0000001_TR8,20191229,2
0000001_TR8,20200101,1
